mouse_strain,C57BL
Gene_accession_id,MGI:2444418
gene_symbol,Scara3
pvalue,0.1642158
analysis_id,5ux3a33fqd26918
parameter_name,Bone Mineral Content (excluding skull)
Parameter_id,IMPC_DXA_005_001
mouse_life_stage,Early adult
