gene_accession_id,MGI:103556
gene_symbol,Cxcl12
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_036_001
pvalue,0.4795955
parameter_name,% Pre-pulse inhibition - PPI4
analysis_id,uf157757sn1zx79
