mouse_life_stage,Early adult
analysis_id,v02r5r7dg0531o1
pvalue,0.7424157
gene_symbol,Eda
gene_accession_id,MGI:1195272
parameter_name,Skin texture - whole body
mouse_strain,C57BL
parameter_id,IMPC_CSD_062_001
