analysis_id,ovdu2y24u7jk3iv
mouse_strain,C57BL
gene_symbol,Pank3
gene_accession_id,MGI:2387464
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_014_001
parameter_name,Alkaline phosphatase
pvalue,0.7832376
