parameter_name,Whole arena resting time
gene_accession_id,MGI:3608347
parameter_id,IMPC_OFD_007_001
analysis_id,5611b71ak14e7u8
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Zfp385c
pvalue,0.1203167
