gene_accession_id,MGI:2147679
gene_symbol,Patl1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_013_001_005
pvalue,0.7459681
parameter_name,Left retina structure
analysis_id,5u1l68s7511e3kt
