mouse_strain,C57BL
gene_symbol,Slc29a3
parameter_name,BMC/Body weight
analysis_id,33kkw0d10g09q27
mouse_life_stage,Early adult
gene_accession_id,MGI:1918529
pvalue,0.397338
parameter_id,ESLIM_005_001_701
