mouse_life_stage,Early adult
parameter_name,Center distance travelled
analysis_id,892cu01k46lp5kt
pvalue,0.9393012
gene_accession_id,MGI:2147679
parameter_id,IMPC_OFD_014_001
mouse_strain,C57BL
gene_symbol,Patl1
