analysis_id,77kt2v8uv75ht97
gene_accession_id,MGI:1195272
parameter_id,IMPC_CSD_007_001
pvalue,0.6603201
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Eda
parameter_name,Coat - color - abdomen
