parameter_name,Tremor
pvalue,0.3589982
mouse_life_stage,Early adult
gene_accession_id,MGI:1928271
analysis_id,mv8a1s7575t4m40
mouse_strain,C57BL
gene_symbol,Malrd1
parameter_id,IMPC_CSD_030_001
