mouse_life_stage,Early adult
gene_symbol,Rgp1
parameter_name,Tibia length
gene_accession_id,MGI:1915956
parameter_id,IMPC_XRY_033_001
mouse_strain,C57BL
pvalue,0.5150822
analysis_id,6k8q6342agez084
