mouse_life_stage,Early adult
pvalue,0.8931491
parameter_name,Hemorrhage
gene_symbol,Arhgef9
parameter_id,IMPC_GEP_011_002
gene_accession_id,MGI:2442233
mouse_strain,C57BL
analysis_id,g5w2r885w97264f
