gene_symbol,Rimbp2
gene_accession_id,MGI:2443235
parameter_name,Heart weight
parameter_id,IMPC_HWT_008_001
mouse_life_stage,early adult
mouse_strain,C57BL
analysis_id,5r989018444jr1u
pvalue,0.699666
