gene_accession_id,MGI:1298378
gene_symbol,Dhcr7
mouse_strain,C57BL
mouse_life_stage,E15.5
parameter_id,IMPC_HEM_003_001
pvalue,0.9317562
parameter_name,Hemoglobin
analysis_id,c4sa34nx5i43rmt
