mouse_life_stage,Early adult
pvalue,0.914975
mouse_strain,C57BL
analysis_id,78g80t0872f1nuy
parameter_id,IMPC_CSD_036_001
parameter_name,Startle response
gene_accession_id,MGI:98495
gene_symbol,Tbx3
