mouse_life_stage,Early adult
pvalue,0.8821319
parameter_name,Lean mass
mouse_strain,C57BL
parameter_id,IMPC_DXA_003_001
gene_symbol,Adnp2
gene_accession_id,MGI:2448562
analysis_id,fv802htttw6q1yf
