mouse_life_stage,Early adult
gene_accession_id,MGI:2685751
parameter_name,Area under glucose response curve
analysis_id,j963x7199t64y1j
parameter_id,IMPC_IPG_012_001
pvalue,0.6524082
gene_symbol,Tmem171
Mouse_strain,C57BL
