parameter_id,IMPC_EYE_056_001
parameter_name,Mean left eye lens density
pvalue,0.8032418
gene_symbol,Adam7
mouse_life_stage,Early adult
analysis_id,35231rb321jofzs
mouse_strain,C57BL
gene_accession_id,MGI:107247
