parameter_name,Dark side time spent
gene_accession_id,MGI:96194
pvalue,0.530063
analysis_id,5wkdgwh9a89s1k6
gene_symbol,Hoxc12
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_LDT_004_001
