pvalue,0.5508986
parameter_name,Periphery average speed
parameter_id,IMPC_OFD_013_001
gene_accession_id,MGI:1914961
mouse_strain,C57BL
analysis_id,hn0dmn4f22ex2qg
mouse_life_stage,Early adult
gene_symbol,Nsmce1
