parameter_id,MGP_IMM_070_001
gene_symbol,Fbxo11
mouse_strain,C57BL
mouse_life_stage,E15.5
analysis_id,4261b986nbv01x4
pvalue,0.2715918
gene_accession_id,MGI:2147134
parameter_name,Total ab T cells - % of CD45+
