analysis_id,42o4se7yikms9n0
gene_symbol,Kifap3
pvalue,0.9833202
parameter_id,IMPC_ABR_010_001
parameter_name,24kHz-evoked ABR Threshold
gene_accession_id,MGI:107566
mouse_life_stage,Early adult
mouse_strain,C57BL
