gene_symbol,Bmx
analysis_id,7sqojkn4906ue8f
mouse_strain,C57BL
gene_accession_id,MGI:1101778
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_001_001
pvalue,0.6932083
parameter_name,White blood cell count
