mouse_life_stage,Early adult
analysis_id,mtw3ldm5408c4u5
mouse_strain,C57BL
parameter_name,Locomotor activity
gene_symbol,Fbxo11
gene_accession_id,MGI:2147134
pvalue,0.7817283
parameter_id,IMPC_CSD_032_001
