mouse_life_stage,Early adult
pvalue,0.2069453
gene_accession_id,MGI:1101778
analysis_id,p6l5618093asdj6
gene_symbol,Bmx
mouse_strain,C57BL
parameter_id,ESLIM_015_001_015
parameter_name,Alkaline phosphatase
