parameter_id,IMPC_DXA_009_001
pvalue,0.196706
gene_accession_id,MGI:103556
gene_symbol,Cxcl12
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,Fat/Body weight
analysis_id,b219c721e2y2ss0
