parameter_id,IMPC_CSD_036_001
gene_symbol,Tmem171
mouse_life_stage,Early adult
gene_accession_id,MGI:2685751
parameter_name,Startle response
pvalue,0.2990502
analysis_id,ka270837c2p77b1
mouse_strain,C57BL
