mouse_strain,C57BL
analysis_id,20nw70xsr5214h1
gene_symbol,Slc29a3
pvalue,0.8557217
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_life_stage,Early adult
gene_accession_id,MGI:1918529
parameter_id,IMPC_GRS_011_001
