mouse_strain,C57BL
gene_symbol,Avl9
analysis_id,iku69eind25z1tp
pvalue,0.6405934
parameter_name,Coat texture
parameter_id,M-G-P_026_001_005
mouse_life_stage,Early adult
gene_accession_id,MGI:1926187
