analysis_id,6ilz99r3x3db6f6
mouse_life_stage,Early adult
gene_symbol,Pmm2
parameter_id,UCD_OWT_003_001
pvalue,0.8421026
parameter_name,Spleen weight
gene_accession_id,MGI:1859214
mouse_strain,C57BL
