gene_accession_id,MGI:105089
gene_symbol,Hsd17b4
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_id,ESLIM_013_001_005
pvalue,0.8885343
parameter_name,Left retina structure
analysis_id,v566q84l90m0zsh
