mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_002_001
gene_accession_id,MGI:105080
gene_symbol,Tgoln1
pvalue,0.06965538
analysis_id,55ak1xcqae9p797
parameter_name,Fat mass
