gene_symbol,Fbxo11
gene_accession_id,MGI:2147134
parameter_name,Alanine aminotransferase
parameter_id,IMPC_CBC_013_001
mouse_life_stage,Early adult
mouse_strain,C3H
pvalue,0.1702328
analysis_id,921ji1tp03ea1j4
