gene_symbol,Zfp512
parameter_id,IMPC_CBC_011_001
analysis_id,39j1yv6yry58i05
parameter_name,Iron
mouse_life_stage,Early adult
gene_accession_id,MGI:1917345
mouse_strain,C57BL
pvalue,0.7278155
