analysis_id,162k6mt4844p728
gene_symbol,Ide
mouse_life_stage,Early adult
pvalue,0.2147555
gene_accession_id,MGI:96412
parameter_id,M-G-P_008_001_012
parameter_name,Tail elevation
mouse_strain,C57BL
