pvalue,0.4755914
analysis_id,dfrglabg0451nm4
parameter_id,CCP_LDT_006_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2148802
gene_symbol,Sec16b
parameter_name,Latency to first transition into light
mouse_strain,C57BL
