mouse_life_stage,Early adult
pvalue,0.737313
mouse_strain,C57BL
parameter_id,JAX_OFD_014_001
gene_accession_id,MGI:102657
analysis_id,x4eil1b8yb46567
gene_symbol,Cdc34
parameter_name,Center distance travelled
