gene_accession_id,MGI:1923896
gene_symbol,Wdr38
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_057_001
pvalue,0.3313673
parameter_name,NK Subsets (Q4)
analysis_id,gru01l1bru5vy19
