parameter_name,Fat/Body weight
mouse_strain,C57BL
gene_accession_id,MGI:1919618
gene_symbol,Borcs8
pvalue,0.5611983
mouse_life_stage,Early adult
analysis_id,2s0z97h04bij750
parameter_id,IMPC_DXA_009_001
