gene_accession_id,MGI:2182543
gene_symbol,Grhl2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_016_001_008
pvalue,0.5912338
parameter_name,Platelets count
analysis_id,28w0x20wa4c3vhb
