analysis_id,v53emmpzh3fibov
gene_symbol,Phf6
parameter_id,IMPC_ACS_035_001
gene_accession_id,MGI:1918248
mouse_strain,C57BL
pvalue,0.09465506
parameter_name,% Pre-pulse inhibition - PPI3
mouse_life_stage,Early adult
