parameter_id,ESLIM_011_001_009
parameter_name,PP3 + pulse startle magnitude
analysis_id,w895132vy0q6003
mouse_strain,C57BL
gene_accession_id,MGI:1891427
pvalue,0.4089063
mouse_life_stage,Early adult
gene_symbol,Fgf23
