mouse_life_stage,E9.5
parameter_name,Maxilla
mouse_strain,C57BL
pvalue,0.4727448
parameter_id,M-G-P_006_001_010
gene_accession_id,MGI:1859214
gene_symbol,Pmm2
analysis_id,n4ac75w66y20mb4
