gene_accession_id,MGI:97312
gene_symbol,Nfkb1
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_002_001
pvalue,0.06233448
parameter_name,Fat mass
analysis_id,hrutt0691sdh327
