mouse_life_stage,E9.5
parameter_name,Lens Opacity
mouse_strain,C57BL
gene_symbol,Cxcl12
pvalue,0.3338144
analysis_id,t5b61240512e1tl
gene_accession_id,MGI:103556
parameter_id,IMPC_EYE_017_001
