mouse_life_stage,Late adult
gene_symbol,Syngr3
parameter_name,Lean/Body weight
pvalue,0.7605495
mouse_strain,C57BL
analysis_id,1p328336ta80vgr
parameter_id,ESLIM_005_001_702
gene_accession_id,MGI:1341881
