gene_accession_id,MGI:1098779
gene_symbol,Cdk2ap2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_005_001
pvalue,0.7909018
parameter_name,Bone Mineral Content (excluding skull)
analysis_id,n8gtjb6d4108104
