parameter_name,Mean cell volume
gene_symbol,Rgp1
mouse_strain,C57BL
pvalue,0.1026859
analysis_id,pm466j612f1abi0
mouse_life_stage,E9.5
parameter_id,ESLIM_016_001_005
gene_accession_id,MGI:1915956
